Wall time,Step,Value
1644437027.9401991,224000,-102.32826232910156
1644437028.9844012,224500,-102.32826232910156
1644437030.9511435,225000,-104.95462799072266
1644437031.8886364,225500,-104.95462799072266
1644437033.8324397,226000,-103.85896301269531
1644437034.722061,226500,-103.85896301269531
1644437036.4544284,227000,-105.658447265625
1644437037.4866688,227500,-105.658447265625
1644437038.7283487,228000,-104.9836196899414
1644437039.8992176,228500,-104.9836196899414
1644437041.628595,229000,-104.87401580810547
1644437042.7077088,229500,-104.87401580810547
1644437043.9793088,230000,-107.25535583496094
1644437044.7562318,230500,-107.25535583496094
1644437046.1903977,231000,-106.30482482910156
1644437047.177757,231500,-106.30482482910156
1644437048.8133826,232000,-105.48242950439453
1644437050.0809953,232500,-105.48242950439453
1644437052.127522,233000,-104.47746276855469
1644437053.3721943,233500,-104.60424041748047
1644437054.110221,234000,-104.30363464355469
1644437055.4436543,234500,-104.68760681152344
1644437056.6534197,235000,-104.68760681152344
1644437057.722563,235500,-104.17060089111328
1644437058.994162,236000,-104.17060089111328
1644437060.4203506,236500,-104.00960540771484
1644437061.3359008,237000,-104.00960540771484
1644437062.2235277,237500,-102.83472442626953
1644437063.8152728,238000,-102.83472442626953
1644437065.1167915,238500,-102.25528717041016
1644437066.5070736,239000,-102.5728530883789
1644437067.7886717,239500,-102.5728530883789
1644437069.3963501,240000,-101.3723373413086
1644437070.6769245,240500,-101.3723373413086
1644437072.4132824,241000,-99.12049865722656
1644437073.738738,241500,-99.12049865722656
1644437075.121071,242000,-97.64485168457031
1644437076.2500246,242500,-97.64485168457031
1644437077.4827285,243000,-98.55006408691406
1644437078.6097143,243500,-98.55006408691406
1644437079.8075106,244000,-96.59796905517578
1644437081.2217302,244500,-96.59796905517578
1644437082.2639449,245000,-96.30178833007812
1644437084.3493686,245500,-96.30178833007812
1644437085.230013,246000,-96.08824157714844
1644437086.5135798,246500,-96.59696960449219
1644437087.4341195,247000,-96.66950225830078
1644437088.5281951,247500,-96.66950225830078
1644437090.3004565,248000,-95.99395751953125
1644437091.429437,248500,-95.99395751953125
1644437092.3270366,249000,-95.78925323486328
1644437093.6175864,249500,-95.31827545166016
1644437094.4922495,250000,-95.31827545166016
1644437095.609261,250500,-94.82391357421875
